,InvoiceDate,InvoiceNo,StockCode,Description,Quantity,InvoiceDate.1,UnitPrice,CustomerID,Country,Estore_id
2818,2011-03-10 12:04:00,C546217,23004,TRAVEL CARD WALLET PANTRY,1.0,2011-03-10 12:04:00,0.42,14057.0,United Kingdom,2
2827,2011-11-04 12:48:00,C574483,,ENAMEL WASH BOWL CREAM,-4.0,2011-11-04 12:48:00,3.75,14359.0,United Kingdom,18
2844,2011-04-14 17:43:00,C550181,,,-4.0,2011-04-14 17:43:00,1.25,13069.0,United Kingdom,31
2877,2011-11-02 11:51:00,C574010,,,-1.0,2011-11-02 11:51:00,5.75,17841.0,United Kingdom,13
2915,2011-01-07 10:56:00,C540417,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-5.0,2011-01-07 10:56:00,2.95,13680.0,United Kingdom,30
3047,2011-02-11 11:55:00,C543729,22698,PINK REGENCY TEACUP AND SAUCER,-1.0,2011-02-11 11:55:00,2.95,15796.0,United Kingdom,21
3157,2011-10-05 12:14:00,C569636,,3 PIECE SPACEBOY COOKIE CUTTER SET,-1.0,2011-10-05 12:14:00,2.1,12841.0,United Kingdom,21
3279,2011-02-07 13:41:00,C543353,,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,-1.0,2011-02-07 13:41:00,1.25,16033.0,United Kingdom,26
3293,2011-01-27 17:11:00,C542413,22699,,-2.0,2011-01-27 17:11:00,2.95,16923.0,United Kingdom,17
3320,2011-05-26 19:58:00,C554849,21232,,-2.0,2011-05-26 19:58:00,1.06,17865.0,United Kingdom,30
3371,2011-11-15 13:39:00,576566,21830,,-186.0,2011-11-15 13:39:00,0.0,,United Kingdom,13
3377,2011-05-24 17:25:00,C554527,23165,LARGE CERAMIC TOP STORAGE JAR,-18.0,2011-05-24 17:25:00,1.45,15251.0,United Kingdom,5
3438,2011-03-29 15:06:00,C548187,22423,,1.0,2011-03-29 15:06:00,12.75,17511.0,United Kingdom,29
3708,2011-11-08 12:24:00,C575056,,,-1.0,2011-11-08 12:24:00,39.95,17736.0,United Kingdom,12
3731,2011-01-26 12:36:00,C542218,22198,,-1.0,2011-01-26 12:36:00,1.65,14606.0,United Kingdom,6
3789,2011-11-06 11:44:00,C574658,,,1.0,2011-11-06 11:44:00,1.65,15426.0,United Kingdom,29
3850,2011-11-23 13:54:00,C578282,22429,ENAMEL MEASURING JUG CREAM,-1.0,2011-11-23 13:54:00,4.25,17841.0,United Kingdom,24
3858,2011-03-27 12:14:00,C547856,47566,PARTY BUNTING,-4.0,2011-03-27 12:14:00,4.95,16256.0,United Kingdom,3
3871,2011-10-25 17:29:00,C572754,,OCEAN SCENT CANDLE IN JEWELLED BOX,-36.0,2011-10-25 17:29:00,1.0,15482.0,United Kingdom,17
3902,2011-11-24 11:16:00,C578371,,SET OF 36 DINOSAUR PAPER DOILIES,-1.0,2011-11-24 11:16:00,1.45,14410.0,United Kingdom,11
3921,2011-10-20 19:11:00,C572110,,SWEET HEART CAKE CARRIER,-2.0,2011-10-20 19:11:00,9.95,14910.0,United Kingdom,8
3931,2010-12-06 11:47:00,C537320,35400,,-1.0,2010-12-06 11:47:00,8.95,14867.0,United Kingdom,1
4028,2011-11-09 11:59:00,C575257,M,,-4.0,2011-11-09 11:59:00,10.95,13623.0,United Kingdom,20
4118,2011-04-01 12:16:00,C548626,,RED DINER WALL CLOCK,-1.0,2011-04-01 12:16:00,8.5,15622.0,United Kingdom,21
4124,2011-09-23 14:35:00,568080,44236,,-2.0,2011-09-23 14:35:00,0.0,,United Kingdom,31
4127,2011-02-01 11:28:00,C542832,35004B,,-12.0,2011-02-01 11:28:00,4.65,15694.0,United Kingdom,6
4228,2011-04-07 12:18:00,C549252,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-3.0,2011-04-07 12:18:00,2.55,16584.0,United Kingdom,10
4239,2011-07-07 17:22:00,C559347,22208,WOOD STAMP SET THANK YOU,-12.0,2011-07-07 17:22:00,0.83,18072.0,United Kingdom,5
4251,2011-05-06 15:16:00,552219,22073,,-56.0,2011-05-06 15:16:00,0.0,,United Kingdom,24
4270,2010-12-12 11:13:00,C538373,20985,HEART CALCULATOR,-12.0,2010-12-12 11:13:00,1.25,16779.0,United Kingdom,14
4291,2011-01-27 12:54:00,C542366,21232,STRAWBERRY CERAMIC TRINKET BOX,-10.0,2011-01-27 12:54:00,1.06,13777.0,United Kingdom,18
4439,2011-04-13 13:51:00,C549962,22423,REGENCY CAKESTAND 3 TIER,-2.0,2011-04-13 13:51:00,10.95,16652.0,United Kingdom,32
4452,2011-03-10 15:27:00,C546302,85040A,,-1.0,2011-03-10 15:27:00,1.65,14214.0,United Kingdom,20
4480,2011-01-20 11:48:00,C541651,M,Manual,-1.0,2011-01-20 11:48:00,1283.8,,United Kingdom,12
4492,2011-10-06 16:41:00,C569908,,,-2.0,2011-10-06 16:41:00,2.95,16782.0,United Kingdom,29
4572,2011-09-27 16:39:00,C568560,23113,PANTRY CHOPPING BOARD,-1.0,2011-09-27 16:39:00,4.95,14299.0,United Kingdom,15
4659,2010-12-15 16:36:00,C539055,22890,,-12.0,2010-12-15 16:36:00,8.5,13829.0,United Kingdom,22
4723,2011-04-28 15:08:00,551435,20825,,-5.0,2011-04-28 15:08:00,0.0,,United Kingdom,8
4750,2011-09-28 11:51:00,C568649,,DRAWER KNOB CRACKLE GLAZE IVORY,-7.0,2011-09-28 11:51:00,1.65,16626.0,United Kingdom,6
4796,2011-09-20 13:37:00,C567479,M,Manual,-1.0,2011-09-20 13:37:00,232.57,,United Kingdom,21
4821,2011-10-24 13:31:00,C572469,23199,JUMBO BAG APPLES,-1.0,2011-10-24 13:31:00,2.08,13534.0,United Kingdom,13
4823,2011-09-02 12:18:00,565304,,,-3167.0,2011-09-02 12:18:00,0.0,,United Kingdom,28
4847,2011-01-12 12:47:00,C540948,,CHRISTMAS LIGHTS 10 REINDEER,1.0,2011-01-12 12:47:00,8.5,13093.0,United Kingdom,5
4877,2011-05-11 09:49:00,C552720,20932,PINK POT PLANT CANDLE,-1.0,2011-05-11 09:49:00,2.95,18272.0,United Kingdom,3
5070,2011-12-07 12:24:00,C581117,21931,JUMBO STORAGE BAG SUKI,-1.0,2011-12-07 12:24:00,2.08,16393.0,United Kingdom,10
5236,2011-05-10 16:27:00,C552709,22796,PHOTO FRAME 3 CLASSIC HANGING,-1.0,2011-05-10 16:27:00,9.95,12886.0,United Kingdom,14
5249,2011-09-02 12:16:00,565302,21682,,-156.0,2011-09-02 12:16:00,0.0,,United Kingdom,14
5270,2011-06-28 15:13:00,C558361,21429,,-2.0,2011-06-28 15:13:00,1.95,15128.0,United Kingdom,32
5281,2011-08-15 10:49:00,563244,22740,,-36.0,2011-08-15 10:49:00,0.0,,United Kingdom,23
5543,2011-12-06 15:04:00,C580971,90058B,CRYSTAL STUD EARRINGS ASSORTED COL ,1.0,2011-12-06 15:04:00,0.38,14298.0,United Kingdom,7
5548,2011-09-21 16:24:00,C567681,22614,PACK OF 12 SPACEBOY TISSUES,-22.0,2011-09-21 16:24:00,0.39,15433.0,United Kingdom,8
5555,2011-10-25 14:31:00,572701,85078,missing,-840.0,2011-10-25 14:31:00,0.0,,United Kingdom,32
5589,2011-08-25 11:18:00,C564427,21927,,1.0,2011-08-25 11:18:00,1.25,17841.0,United Kingdom,4
5607,2011-07-26 11:52:00,561252,DCGS0069,,-5.0,2011-07-26 11:52:00,0.0,,United Kingdom,24
5628,2011-06-30 10:31:00,C558521,,PINK POLKADOT GARDEN PARASOL,-2.0,2011-06-30 10:31:00,6.75,13113.0,United Kingdom,13
5664,2011-12-02 11:58:00,C580179,21231,SWEETHEART CERAMIC TRINKET BOX,-3.0,2011-12-02 11:58:00,1.25,13352.0,United Kingdom,26
5722,2011-09-25 10:43:00,C568138,21821,GLITTER STAR GARLAND WITH BELLS ,-12.0,2011-09-25 10:43:00,3.75,16689.0,United Kingdom,9
5816,2011-11-08 16:25:00,C575161,,,1.0,2011-11-08 16:25:00,4.25,15271.0,United Kingdom,32
5892,2011-06-19 12:48:00,C557288,,,-4.0,2011-06-19 12:48:00,2.95,18109.0,United Kingdom,25
5984,2011-08-01 15:13:00,C562020,23029,DRAWER KNOB CRACKLE GLAZE GREEN,-4.0,2011-08-01 15:13:00,1.65,16774.0,United Kingdom,18
6119,2011-03-18 13:32:00,C546997,84879,,-5.0,2011-03-18 13:32:00,1.69,12748.0,United Kingdom,13
6300,2010-12-14 11:10:00,C538718,22178,VICTORIAN GLASS HANGING T-LIGHT,-48.0,2010-12-14 11:10:00,1.25,15602.0,United Kingdom,1
6303,2011-11-04 12:05:00,C574473,23284,,-2.0,2011-11-04 12:05:00,8.25,15809.0,United Kingdom,17
6309,2011-10-24 16:08:00,572536,,,-8.0,2011-10-24 16:08:00,0.0,,United Kingdom,11
6397,2011-05-06 10:00:00,C552049,,,-4.0,2011-05-06 10:00:00,5.95,17548.0,United Kingdom,7
6403,2011-08-25 14:16:00,C564492,S,SAMPLES,-1.0,2011-08-25 14:16:00,239.07,,United Kingdom,23
6407,2011-01-09 10:59:00,C540503,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1.0,2011-01-09 10:59:00,8.5,13668.0,United Kingdom,30
6412,2011-11-22 15:29:00,C578061,21262,,1.0,2011-11-22 15:29:00,2.95,15811.0,United Kingdom,17
6432,2010-12-22 12:43:00,C539827,,POPPY'S PLAYHOUSE BEDROOM ,-1.0,2010-12-22 12:43:00,2.1,15044.0,United Kingdom,23
6517,2011-03-27 12:12:00,C547854,22530,,-24.0,2011-03-27 12:12:00,0.42,14586.0,United Kingdom,29
6646,2011-07-26 10:21:00,C561232,22429,ENAMEL MEASURING JUG CREAM,-1.0,2011-07-26 10:21:00,4.25,16133.0,United Kingdom,28
6660,2011-02-10 15:50:00,C543627,21754,HOME BUILDING BLOCK WORD,-1.0,2011-02-10 15:50:00,5.95,15601.0,United Kingdom,18
6725,2011-02-13 15:45:00,C543818,22138,,-2.0,2011-02-13 15:45:00,4.95,16897.0,United Kingdom,17
6800,2011-09-23 14:36:00,568081,84663A,,-9.0,2011-09-23 14:36:00,0.0,,United Kingdom,9
6840,2011-11-15 10:52:00,C576401,21990,MODERN FLORAL STATIONERY SET,-12.0,2011-11-15 10:52:00,1.25,13026.0,United Kingdom,28
6850,2011-12-08 10:06:00,C581228,,WOODEN FRAME ANTIQUE WHITE ,-6.0,2011-12-08 10:06:00,2.95,16019.0,United Kingdom,6
6886,2011-10-17 11:46:00,C571346,22969,HOMEMADE JAM SCENTED CANDLES,-1.0,2011-10-17 11:46:00,1.45,16101.0,United Kingdom,16
6975,2011-01-07 09:21:00,C540398,84792,,-2.0,2011-01-07 09:21:00,4.65,14047.0,United Kingdom,9
7014,2011-09-06 12:58:00,C565752,,SET OF 4 KNICK KNACK TINS LEAF,-1.0,2011-09-06 12:58:00,4.15,17841.0,United Kingdom,7
7023,2011-11-17 18:41:00,577124,22759,,-327.0,2011-11-17 18:41:00,0.0,,United Kingdom,15
7184,2011-10-06 18:12:00,C569944,22364,GLASS JAR DIGESTIVE BISCUITS,-1.0,2011-10-06 18:12:00,2.95,17405.0,United Kingdom,20
7264,2011-04-14 17:43:00,C550181,,,-16.0,2011-04-14 17:43:00,0.42,13069.0,United Kingdom,16
7341,2011-05-22 13:27:00,C554100,M,,-1.0,2011-05-22 13:27:00,0.85,15555.0,United Kingdom,27
7439,2011-09-13 17:14:00,C566611,22666,RECIPE BOX PANTRY YELLOW DESIGN,-1.0,2011-09-13 17:14:00,2.95,15513.0,United Kingdom,9
7469,2011-04-28 14:11:00,551422,22084,,-150.0,2011-04-28 14:11:00,0.0,,United Kingdom,5
7576,2010-12-09 15:23:00,C538109,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1.0,2010-12-09 15:23:00,7.95,16042.0,United Kingdom,27
7595,2011-09-23 09:19:00,C567963,20707,CRAZY DAISY HEART DECORATION,-1.0,2011-09-23 09:19:00,1.25,14141.0,United Kingdom,1
7651,2011-06-13 11:42:00,C556530,,PICNIC BASKET WICKER LARGE,-3.0,2011-06-13 11:42:00,9.95,18109.0,United Kingdom,18
7666,2011-05-11 14:52:00,C552849,21733,RED HANGING HEART T-LIGHT HOLDER,-3.0,2011-05-11 14:52:00,2.95,14367.0,United Kingdom,17
7704,2011-06-15 12:37:00,C556888,22064,,-1.0,2011-06-15 12:37:00,1.65,15005.0,United Kingdom,22
7739,2011-07-18 14:24:00,C560409,,SET OF 2 WOODEN MARKET CRATES,-2.0,2011-07-18 14:24:00,12.75,16717.0,United Kingdom,17
7848,2011-06-13 15:48:00,C556643,21452,TOADSTOOL MONEY BOX,-1.0,2011-06-13 15:48:00,2.95,17841.0,United Kingdom,21
8049,2011-10-10 17:11:00,C570486,22138,BAKING SET 9 PIECE RETROSPOT ,-6.0,2011-10-10 17:11:00,4.95,14533.0,United Kingdom,32
8089,2010-12-01 10:24:00,C536391,21984,,1.0,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,17
8090,2011-06-27 11:18:00,C558129,21257,VICTORIAN SEWING BOX MEDIUM,-2.0,2011-06-27 11:18:00,7.95,12919.0,United Kingdom,13
8092,2011-06-13 15:44:00,C556640,21735,TWO DOOR CURIO CABINET,-2.0,2011-06-13 15:44:00,12.75,13148.0,United Kingdom,29
8274,2011-04-20 12:08:00,550757,16202B,,-9.0,2011-04-20 12:08:00,0.0,,United Kingdom,2
8346,2011-10-20 15:56:00,C572102,22622,,-1.0,2011-10-20 15:56:00,11.95,13519.0,United Kingdom,26
8476,2011-07-26 10:27:00,C561235,21314,,-1.0,2011-07-26 10:27:00,2.1,13767.0,United Kingdom,29
8499,2011-11-09 12:15:00,575287,84508A,check,-39.0,2011-11-09 12:15:00,0.0,,United Kingdom,1
8506,2011-01-25 12:41:00,C542091,,,-1.0,2011-01-25 12:41:00,4.25,17091.0,United Kingdom,29
8524,2011-10-24 13:48:00,C572481,23252,VINTAGE RED ENAMEL TRIM JUG ,1.0,2011-10-24 13:48:00,3.75,15632.0,United Kingdom,29
8631,2011-04-05 17:22:00,C549041,22558,CLOTHES PEGS RETROSPOT PACK 24 ,-1.0,2011-04-05 17:22:00,1.65,17644.0,United Kingdom,2
8821,2011-06-09 10:12:00,556122,85019C,Damaged,-108.0,2011-06-09 10:12:00,0.0,,United Kingdom,18
8946,2011-01-11 11:45:00,C540787,,,-4.0,2011-01-11 11:45:00,2.55,13408.0,United Kingdom,30
8981,2011-09-21 14:27:00,567645,,,-53.0,2011-09-21 14:27:00,0.0,,United Kingdom,1
9049,2011-11-08 12:05:00,C575042,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1.0,2011-11-08 12:05:00,2.95,16764.0,United Kingdom,14
9163,2011-06-26 15:47:00,C558110,47599A,PINK PARTY BAGS,-6.0,2011-06-26 15:47:00,2.1,17731.0,United Kingdom,12
9183,2010-12-09 15:01:00,C538102,84792,ENCHANTED BIRD COATHANGER 5 HOOK,-2.0,2010-12-09 15:01:00,4.65,14047.0,United Kingdom,30
9228,2011-09-14 14:56:00,C566742,22913,RED COAT RACK PARIS FASHION,-1.0,2011-09-14 14:56:00,4.95,17422.0,United Kingdom,30
9285,2011-09-22 15:17:00,C567885,,PINK REGENCY TEACUP AND SAUCER,1.0,2011-09-22 15:17:00,2.95,12879.0,United Kingdom,31
9335,2011-07-21 15:39:00,C560880,22977,,1.0,2011-07-21 15:39:00,1.25,15152.0,United Kingdom,5
9422,2011-08-01 13:11:00,C561966,,AIRLINE BAG VINTAGE TOKYO 78,1.0,2011-08-01 13:11:00,4.13,,United Kingdom,18
9495,2010-12-16 11:10:00,C539110,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,-1.0,2010-12-16 11:10:00,4.95,16470.0,United Kingdom,22
9515,2011-11-02 11:51:00,C574010,,,-1.0,2011-11-02 11:51:00,3.75,17841.0,United Kingdom,3
9580,2011-06-21 17:42:00,C557659,20971,PINK BLUE FELT CRAFT TRINKET BOX,-12.0,2011-06-21 17:42:00,1.25,16186.0,United Kingdom,8
9598,2011-06-26 11:43:00,C558082,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,-2.0,2011-06-26 11:43:00,0.85,16239.0,United Kingdom,16
9602,2011-11-30 14:58:00,C579758,22423,,-1.0,2011-11-30 14:58:00,10.95,14644.0,United Kingdom,12
9620,2011-07-08 13:51:00,C559486,22423,REGENCY CAKESTAND 3 TIER,-1.0,2011-07-08 13:51:00,12.75,13047.0,United Kingdom,13
9654,2011-02-15 16:49:00,544086,21785,,-7.0,2011-02-15 16:49:00,0.0,,United Kingdom,10
9665,2011-07-20 12:32:00,C560699,15039,,-4.0,2011-07-20 12:32:00,0.85,13217.0,United Kingdom,7
9704,2011-07-19 14:56:00,C560574,M,,-1.0,2011-07-19 14:56:00,106.4,14437.0,United Kingdom,25
9760,2011-04-12 11:58:00,C549786,22233,,-6.0,2011-04-12 11:58:00,1.65,14071.0,United Kingdom,19
9863,2011-02-14 10:40:00,C543835,M,Manual,1.0,2011-02-14 10:40:00,1.95,12963.0,United Kingdom,27
9864,2010-12-13 13:09:00,C538628,21452,,-1.0,2010-12-13 13:09:00,2.95,17231.0,United Kingdom,1
9893,2011-04-08 11:29:00,549374,20775,,-29.0,2011-04-08 11:29:00,0.0,,United Kingdom,32
9929,2011-08-11 10:12:00,C562953,22699,,1.0,2011-08-11 10:12:00,2.95,16180.0,United Kingdom,29
9951,2011-06-06 12:58:00,C555639,21754,,-1.0,2011-06-06 12:58:00,5.95,13458.0,United Kingdom,23
10080,2011-04-05 09:53:00,C548915,,ROUND CONTAINER SET OF 5 RETROSPOT,-12.0,2011-04-05 09:53:00,1.65,12668.0,Germany,32
10086,2011-05-23 12:48:00,C554266,,FELTCRAFT GIRL AMELIE KIT,-1.0,2011-05-23 12:48:00,4.95,12474.0,Germany,14
10116,2011-09-09 10:11:00,C566084,22698,,-3.0,2011-09-09 10:11:00,2.95,12621.0,Germany,19
10119,2011-01-05 11:42:00,C540158,22964,,-2.0,2011-01-05 11:42:00,2.1,12471.0,Germany,3
10218,2011-06-06 11:17:00,C555600,23200,JUMBO BAG PEARS,-10.0,2011-06-06 11:17:00,2.08,12633.0,Germany,2
10259,2010-12-09 15:41:00,C538123,,,-2.0,2010-12-09 15:41:00,2.1,12605.0,Germany,3
10330,2011-01-28 13:54:00,C542537,,,1.0,2011-01-28 13:54:00,1.65,12501.0,Germany,11
10336,2011-06-01 16:33:00,C555273,,,1.0,2011-06-01 16:33:00,2.95,12708.0,Germany,29
10352,2011-11-10 13:45:00,C575635,,Manual,-1.0,2011-11-10 13:45:00,424.06,12473.0,Germany,5
10437,2011-11-08 16:05:00,C575150,,,-9.0,2011-11-08 16:05:00,1.45,12471.0,Germany,8
10452,2011-11-02 14:18:00,C574061,22779,,-12.0,2011-11-02 14:18:00,4.25,12474.0,Germany,31
10471,2011-03-24 10:58:00,C547581,,,1.0,2011-03-24 10:58:00,1.95,12474.0,Germany,23
10496,2010-12-20 15:52:00,C539644,,,1.0,2010-12-20 15:52:00,2.95,12471.0,Germany,22
10518,2011-08-04 10:36:00,C562281,,,-1.0,2011-08-04 10:36:00,12.75,12476.0,Germany,6
10548,2011-10-27 13:45:00,C573037,,,-3.0,2011-10-27 13:45:00,0.65,12471.0,Germany,8
10583,2011-02-03 10:14:00,C543050,22637,,-2.0,2011-02-03 10:14:00,2.55,12625.0,Germany,27
10593,2011-12-06 16:42:00,C580989,22331,WOODLAND PARTY BAG + STICKER SET,1.0,2011-12-06 16:42:00,1.65,12709.0,Germany,20
10655,2011-03-30 15:12:00,C548356,,,1.0,2011-03-30 15:12:00,2.55,12472.0,Germany,8
10663,2011-01-27 12:00:00,C542346,,,1.0,2011-01-27 12:00:00,3.39,12709.0,Germany,14
10665,2011-10-27 13:45:00,C573037,,,-2.0,2011-10-27 13:45:00,4.15,12471.0,Germany,23
10666,2011-10-19 16:44:00,C571928,,,-5.0,2011-10-19 16:44:00,5.95,12720.0,Germany,14
10712,2011-02-02 09:39:00,C542924,,REGENCY CAKESTAND 3 TIER,-2.0,2011-02-02 09:39:00,12.75,12559.0,Germany,23
10722,2011-01-25 13:15:00,C542101,22937,,1.0,2011-01-25 13:15:00,2.55,12471.0,Germany,25
10756,2011-02-07 12:44:00,C543347,,,1.0,2011-02-07 12:44:00,1.25,12472.0,Germany,4
10766,2011-04-26 11:19:00,C551018,,,1.0,2011-04-26 11:19:00,2.1,12705.0,Germany,14
10796,2011-05-23 17:20:00,C554336,,,1.0,2011-05-23 17:20:00,4.95,12474.0,Germany,30
10849,2011-03-17 18:13:00,C546886,,,1.0,2011-03-17 18:13:00,2.55,12520.0,Germany,17
10886,2011-02-03 10:14:00,C543050,22637,,-2.0,2011-02-03 10:14:00,2.55,12625.0,Germany,1
10900,2011-03-28 16:02:00,C547968,,,-1.0,2011-03-28 16:02:00,1.65,12471.0,Germany,29
10940,2011-08-23 10:38:00,C564104,23199,,1.0,2011-08-23 10:38:00,2.08,12530.0,Germany,32
10956,2011-08-31 12:39:00,C564913,,,1.0,2011-08-31 12:39:00,0.72,12560.0,Germany,20
10959,2011-04-26 11:19:00,C551018,,,1.0,2011-04-26 11:19:00,2.1,12705.0,Germany,2
10989,2011-02-07 12:44:00,C543347,,,1.0,2011-02-07 12:44:00,12.75,12472.0,Germany,21
11024,2011-12-02 15:10:00,C580313,,,-6.0,2011-12-02 15:10:00,0.42,12668.0,Germany,21
11042,2011-12-08 14:08:00,C581409,,,-1.0,2011-12-08 14:08:00,2.95,12476.0,Germany,30
11060,2011-09-09 10:32:00,C566090,,,-6.0,2011-09-09 10:32:00,0.83,12477.0,Germany,8
11081,2011-04-26 11:19:00,C551018,,,1.0,2011-04-26 11:19:00,0.85,12705.0,Germany,27
11096,2011-09-02 11:31:00,C565284,23245,,1.0,2011-09-02 11:31:00,4.95,12471.0,Germany,16
11167,2011-10-13 11:49:00,C570963,,,-2.0,2011-10-13 11:49:00,1.25,13816.0,Germany,10
11181,2011-11-08 12:39:00,C575064,,,-1.0,2011-11-08 12:39:00,7.95,12472.0,Germany,21
11182,2011-09-09 10:32:00,C566090,,,-6.0,2011-09-09 10:32:00,0.83,12477.0,Germany,9
11198,2011-04-26 11:19:00,C551018,,,1.0,2011-04-26 11:19:00,0.85,12705.0,Germany,28
11215,2010-12-20 15:52:00,C539644,,,1.0,2010-12-20 15:52:00,0.85,12471.0,Germany,32
11220,2011-07-26 15:10:00,C561358,,,1.0,2011-07-26 15:10:00,8.5,12626.0,Germany,1
